label,calculate,date,year,month,day,dayofweek,dayname
Dia do Trabalhador,may 1th,20490501,2049,5,1,5,Saturday
Dia de Portugal,june 10th,20490610,2049,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20490617,2049,6,17,3,Thursday
Assuncao Maria,august 15th,20490815,2049,8,15,6,Sunday
Implatacao da Republica,october 5th,20491005,2049,10,5,1,Tuesday
Todos os Santos,november 1st,20491101,2049,11,1,0,Monday
Restauracao da Independencia,december 1st,20491201,2049,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20491208,2049,12,8,2,Wednesday
Natal,december 25th,20491225,2049,12,25,5,Saturday
Ano Novo,january 1st,20500101,2050,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20500222,2050,2,22,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20500408,2050,4,8,4,Friday
Pascoa,easter sunday,20500410,2050,4,10,6,Sunday
25 de Abril,april 25th,20500425,2050,4,25,0,Monday
Dia do Trabalhador,may 1th,20500501,2050,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20500609,2050,6,9,3,Thursday
Dia de Portugal,june 10th,20500610,2050,6,10,4,Friday
Assuncao Maria,august 15th,20500815,2050,8,15,0,Monday
Implatacao da Republica,october 5th,20501005,2050,10,5,2,Wednesday
Todos os Santos,november 1st,20501101,2050,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20501201,2050,12,1,3,Thursday
Imaculada Conceicao,december 8th,20501208,2050,12,8,3,Thursday
Natal,december 25th,20501225,2050,12,25,6,Sunday
Ano Novo,january 1st,20510101,2051,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20510214,2051,2,14,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20510331,2051,3,31,4,Friday
Pascoa,easter sunday,20510402,2051,4,2,6,Sunday
25 de Abril,april 25th,20510425,2051,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20510501,2051,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20510601,2051,6,1,3,Thursday
Dia de Portugal,june 10th,20510610,2051,6,10,5,Saturday
Assuncao Maria,august 15th,20510815,2051,8,15,1,Tuesday
Implatacao da Republica,october 5th,20511005,2051,10,5,3,Thursday
Todos os Santos,november 1st,20511101,2051,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20511201,2051,12,1,4,Friday
Imaculada Conceicao,december 8th,20511208,2051,12,8,4,Friday
Natal,december 25th,20511225,2051,12,25,0,Monday
Ano Novo,january 1st,20520101,2052,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20520305,2052,3,5,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20520419,2052,4,19,4,Friday
Pascoa,easter sunday,20520421,2052,4,21,6,Sunday
25 de Abril,april 25th,20520425,2052,4,25,3,Thursday
Dia do Trabalhador,may 1th,20520501,2052,5,1,2,Wednesday
Dia de Portugal,june 10th,20520610,2052,6,10,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20520620,2052,6,20,3,Thursday
Assuncao Maria,august 15th,20520815,2052,8,15,3,Thursday
Implatacao da Republica,october 5th,20521005,2052,10,5,5,Saturday
Todos os Santos,november 1st,20521101,2052,11,1,4,Friday
Restauracao da Independencia,december 1st,20521201,2052,12,1,6,Sunday
Imaculada Conceicao,december 8th,20521208,2052,12,8,6,Sunday
Natal,december 25th,20521225,2052,12,25,2,Wednesday
Ano Novo,january 1st,20530101,2053,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20530218,2053,2,18,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20530404,2053,4,4,4,Friday
Pascoa,easter sunday,20530406,2053,4,6,6,Sunday
25 de Abril,april 25th,20530425,2053,4,25,4,Friday
Dia do Trabalhador,may 1th,20530501,2053,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20530605,2053,6,5,3,Thursday
Dia de Portugal,june 10th,20530610,2053,6,10,1,Tuesday
Assuncao Maria,august 15th,20530815,2053,8,15,4,Friday
Implatacao da Republica,october 5th,20531005,2053,10,5,6,Sunday
Todos os Santos,november 1st,20531101,2053,11,1,5,Saturday
Restauracao da Independencia,december 1st,20531201,2053,12,1,0,Monday
Imaculada Conceicao,december 8th,20531208,2053,12,8,0,Monday
Natal,december 25th,20531225,2053,12,25,3,Thursday
Ano Novo,january 1st,20540101,2054,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20540210,2054,2,10,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20540327,2054,3,27,4,Friday
Pascoa,easter sunday,20540329,2054,3,29,6,Sunday
25 de Abril,april 25th,20540425,2054,4,25,5,Saturday
Dia do Trabalhador,may 1th,20540501,2054,5,1,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20540528,2054,5,28,3,Thursday
Dia de Portugal,june 10th,20540610,2054,6,10,2,Wednesday
Assuncao Maria,august 15th,20540815,2054,8,15,5,Saturday
Implatacao da Republica,october 5th,20541005,2054,10,5,0,Monday
Todos os Santos,november 1st,20541101,2054,11,1,6,Sunday
Restauracao da Independencia,december 1st,20541201,2054,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20541208,2054,12,8,1,Tuesday
Natal,december 25th,20541225,2054,12,25,4,Friday
Ano Novo,january 1st,20550101,2055,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20550302,2055,3,2,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20550416,2055,4,16,4,Friday
Pascoa,easter sunday,20550418,2055,4,18,6,Sunday
25 de Abril,april 25th,20550425,2055,4,25,6,Sunday
Dia do Trabalhador,may 1th,20550501,2055,5,1,5,Saturday
Dia de Portugal,june 10th,20550610,2055,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20550617,2055,6,17,3,Thursday
Assuncao Maria,august 15th,20550815,2055,8,15,6,Sunday
Implatacao da Republica,october 5th,20551005,2055,10,5,1,Tuesday
Todos os Santos,november 1st,20551101,2055,11,1,0,Monday
Restauracao da Independencia,december 1st,20551201,2055,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20551208,2055,12,8,2,Wednesday
Natal,december 25th,20551225,2055,12,25,5,Saturday
Ano Novo,january 1st,20560101,2056,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20560215,2056,2,15,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20560331,2056,3,31,4,Friday
Pascoa,easter sunday,20560402,2056,4,2,6,Sunday
25 de Abril,april 25th,20560425,2056,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20560501,2056,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20560601,2056,6,1,3,Thursday
Dia de Portugal,june 10th,20560610,2056,6,10,5,Saturday
Assuncao Maria,august 15th,20560815,2056,8,15,1,Tuesday
Implatacao da Republica,october 5th,20561005,2056,10,5,3,Thursday
Todos os Santos,november 1st,20561101,2056,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20561201,2056,12,1,4,Friday
Imaculada Conceicao,december 8th,20561208,2056,12,8,4,Friday
Natal,december 25th,20561225,2056,12,25,0,Monday
Ano Novo,january 1st,20570101,2057,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20570306,2057,3,6,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20570420,2057,4,20,4,Friday
Pascoa,easter sunday,20570422,2057,4,22,6,Sunday
25 de Abril,april 25th,20570425,2057,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20570501,2057,5,1,1,Tuesday
Dia de Portugal,june 10th,20570610,2057,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20570621,2057,6,21,3,Thursday
Assuncao Maria,august 15th,20570815,2057,8,15,2,Wednesday
Implatacao da Republica,october 5th,20571005,2057,10,5,4,Friday
Todos os Santos,november 1st,20571101,2057,11,1,3,Thursday
Restauracao da Independencia,december 1st,20571201,2057,12,1,5,Saturday
Imaculada Conceicao,december 8th,20571208,2057,12,8,5,Saturday
Natal,december 25th,20571225,2057,12,25,1,Tuesday
Ano Novo,january 1st,20580101,2058,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20580226,2058,2,26,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20580412,2058,4,12,4,Friday
Pascoa,easter sunday,20580414,2058,4,14,6,Sunday
25 de Abril,april 25th,20580425,2058,4,25,3,Thursday
Dia do Trabalhador,may 1th,20580501,2058,5,1,2,Wednesday
Dia de Portugal,june 10th,20580610,2058,6,10,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20580613,2058,6,13,3,Thursday
Assuncao Maria,august 15th,20580815,2058,8,15,3,Thursday
Implatacao da Republica,october 5th,20581005,2058,10,5,5,Saturday
Todos os Santos,november 1st,20581101,2058,11,1,4,Friday
Restauracao da Independencia,december 1st,20581201,2058,12,1,6,Sunday
Imaculada Conceicao,december 8th,20581208,2058,12,8,6,Sunday
Natal,december 25th,20581225,2058,12,25,2,Wednesday
Ano Novo,january 1st,20590101,2059,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20590211,2059,2,11,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20590328,2059,3,28,4,Friday
Pascoa,easter sunday,20590330,2059,3,30,6,Sunday
25 de Abril,april 25th,20590425,2059,4,25,4,Friday
Dia do Trabalhador,may 1th,20590501,2059,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20590529,2059,5,29,3,Thursday
Dia de Portugal,june 10th,20590610,2059,6,10,1,Tuesday
Assuncao Maria,august 15th,20590815,2059,8,15,4,Friday
Implatacao da Republica,october 5th,20591005,2059,10,5,6,Sunday
Todos os Santos,november 1st,20591101,2059,11,1,5,Saturday
Restauracao da Independencia,december 1st,20591201,2059,12,1,0,Monday
Imaculada Conceicao,december 8th,20591208,2059,12,8,0,Monday
Natal,december 25th,20591225,2059,12,25,3,Thursday
Ano Novo,january 1st,20600101,2060,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20600302,2060,3,2,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20600416,2060,4,16,4,Friday
Pascoa,easter sunday,20600418,2060,4,18,6,Sunday
25 de Abril,april 25th,20600425,2060,4,25,6,Sunday
Dia do Trabalhador,may 1th,20600501,2060,5,1,5,Saturday
Dia de Portugal,june 10th,20600610,2060,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20600617,2060,6,17,3,Thursday
Assuncao Maria,august 15th,20600815,2060,8,15,6,Sunday
Implatacao da Republica,october 5th,20601005,2060,10,5,1,Tuesday
Todos os Santos,november 1st,20601101,2060,11,1,0,Monday
Restauracao da Independencia,december 1st,20601201,2060,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20601208,2060,12,8,2,Wednesday
Natal,december 25th,20601225,2060,12,25,5,Saturday
Ano Novo,january 1st,20610101,2061,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20610222,2061,2,22,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20610408,2061,4,8,4,Friday
Pascoa,easter sunday,20610410,2061,4,10,6,Sunday
25 de Abril,april 25th,20610425,2061,4,25,0,Monday
Dia do Trabalhador,may 1th,20610501,2061,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20610609,2061,6,9,3,Thursday
Dia de Portugal,june 10th,20610610,2061,6,10,4,Friday
Assuncao Maria,august 15th,20610815,2061,8,15,0,Monday
Implatacao da Republica,october 5th,20611005,2061,10,5,2,Wednesday
Todos os Santos,november 1st,20611101,2061,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20611201,2061,12,1,3,Thursday
Imaculada Conceicao,december 8th,20611208,2061,12,8,3,Thursday
Natal,december 25th,20611225,2061,12,25,6,Sunday
Ano Novo,january 1st,20620101,2062,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20620207,2062,2,7,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20620324,2062,3,24,4,Friday
Pascoa,easter sunday,20620326,2062,3,26,6,Sunday
25 de Abril,april 25th,20620425,2062,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20620501,2062,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20620525,2062,5,25,3,Thursday
Dia de Portugal,june 10th,20620610,2062,6,10,5,Saturday
Assuncao Maria,august 15th,20620815,2062,8,15,1,Tuesday
Implatacao da Republica,october 5th,20621005,2062,10,5,3,Thursday
Todos os Santos,november 1st,20621101,2062,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20621201,2062,12,1,4,Friday
Imaculada Conceicao,december 8th,20621208,2062,12,8,4,Friday
Natal,december 25th,20621225,2062,12,25,0,Monday
Ano Novo,january 1st,20630101,2063,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20630227,2063,2,27,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20630413,2063,4,13,4,Friday
Pascoa,easter sunday,20630415,2063,4,15,6,Sunday
25 de Abril,april 25th,20630425,2063,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20630501,2063,5,1,1,Tuesday
Dia de Portugal,june 10th,20630610,2063,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20630614,2063,6,14,3,Thursday
Assuncao Maria,august 15th,20630815,2063,8,15,2,Wednesday
Implatacao da Republica,october 5th,20631005,2063,10,5,4,Friday
Todos os Santos,november 1st,20631101,2063,11,1,3,Thursday
Restauracao da Independencia,december 1st,20631201,2063,12,1,5,Saturday
Imaculada Conceicao,december 8th,20631208,2063,12,8,5,Saturday
Natal,december 25th,20631225,2063,12,25,1,Tuesday
Ano Novo,january 1st,20640101,2064,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20640219,2064,2,19,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20640404,2064,4,4,4,Friday
Pascoa,easter sunday,20640406,2064,4,6,6,Sunday
25 de Abril,april 25th,20640425,2064,4,25,4,Friday
Dia do Trabalhador,may 1th,20640501,2064,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20640605,2064,6,5,3,Thursday
Dia de Portugal,june 10th,20640610,2064,6,10,1,Tuesday
Assuncao Maria,august 15th,20640815,2064,8,15,4,Friday
Implatacao da Republica,october 5th,20641005,2064,10,5,6,Sunday
Todos os Santos,november 1st,20641101,2064,11,1,5,Saturday
Restauracao da Independencia,december 1st,20641201,2064,12,1,0,Monday
Imaculada Conceicao,december 8th,20641208,2064,12,8,0,Monday
Natal,december 25th,20641225,2064,12,25,3,Thursday
Ano Novo,january 1st,20650101,2065,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20650210,2065,2,10,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20650327,2065,3,27,4,Friday
Pascoa,easter sunday,20650329,2065,3,29,6,Sunday
25 de Abril,april 25th,20650425,2065,4,25,5,Saturday
Dia do Trabalhador,may 1th,20650501,2065,5,1,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20650528,2065,5,28,3,Thursday
Dia de Portugal,june 10th,20650610,2065,6,10,2,Wednesday
Assuncao Maria,august 15th,20650815,2065,8,15,5,Saturday
Implatacao da Republica,october 5th,20651005,2065,10,5,0,Monday
Todos os Santos,november 1st,20651101,2065,11,1,6,Sunday
Restauracao da Independencia,december 1st,20651201,2065,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20651208,2065,12,8,1,Tuesday
Natal,december 25th,20651225,2065,12,25,4,Friday
Ano Novo,january 1st,20660101,2066,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20660223,2066,2,23,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20660409,2066,4,9,4,Friday
Pascoa,easter sunday,20660411,2066,4,11,6,Sunday
25 de Abril,april 25th,20660425,2066,4,25,6,Sunday
Dia do Trabalhador,may 1th,20660501,2066,5,1,5,Saturday
Dia de Portugal,june 10th,20660610,2066,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20660610,2066,6,10,3,Thursday
Assuncao Maria,august 15th,20660815,2066,8,15,6,Sunday
Implatacao da Republica,october 5th,20661005,2066,10,5,1,Tuesday
Todos os Santos,november 1st,20661101,2066,11,1,0,Monday
Restauracao da Independencia,december 1st,20661201,2066,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20661208,2066,12,8,2,Wednesday
Natal,december 25th,20661225,2066,12,25,5,Saturday
Ano Novo,january 1st,20670101,2067,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20670215,2067,2,15,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20670401,2067,4,1,4,Friday
Pascoa,easter sunday,20670403,2067,4,3,6,Sunday
25 de Abril,april 25th,20670425,2067,4,25,0,Monday
Dia do Trabalhador,may 1th,20670501,2067,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20670602,2067,6,2,3,Thursday
Dia de Portugal,june 10th,20670610,2067,6,10,4,Friday
Assuncao Maria,august 15th,20670815,2067,8,15,0,Monday
Implatacao da Republica,october 5th,20671005,2067,10,5,2,Wednesday
Todos os Santos,november 1st,20671101,2067,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20671201,2067,12,1,3,Thursday
Imaculada Conceicao,december 8th,20671208,2067,12,8,3,Thursday
Natal,december 25th,20671225,2067,12,25,6,Sunday
Ano Novo,january 1st,20680101,2068,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20680306,2068,3,6,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20680420,2068,4,20,4,Friday
Pascoa,easter sunday,20680422,2068,4,22,6,Sunday
25 de Abril,april 25th,20680425,2068,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20680501,2068,5,1,1,Tuesday
Dia de Portugal,june 10th,20680610,2068,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20680621,2068,6,21,3,Thursday
Assuncao Maria,august 15th,20680815,2068,8,15,2,Wednesday
Implatacao da Republica,october 5th,20681005,2068,10,5,4,Friday
Todos os Santos,november 1st,20681101,2068,11,1,3,Thursday
Restauracao da Independencia,december 1st,20681201,2068,12,1,5,Saturday
Imaculada Conceicao,december 8th,20681208,2068,12,8,5,Saturday
Natal,december 25th,20681225,2068,12,25,1,Tuesday
Ano Novo,january 1st,20690101,2069,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20690226,2069,2,26,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20690412,2069,4,12,4,Friday
Pascoa,easter sunday,20690414,2069,4,14,6,Sunday
25 de Abril,april 25th,20690425,2069,4,25,3,Thursday
Dia do Trabalhador,may 1th,20690501,2069,5,1,2,Wednesday
Dia de Portugal,june 10th,20690610,2069,6,10,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20690613,2069,6,13,3,Thursday
Assuncao Maria,august 15th,20690815,2069,8,15,3,Thursday
Implatacao da Republica,october 5th,20691005,2069,10,5,5,Saturday
Todos os Santos,november 1st,20691101,2069,11,1,4,Friday
Restauracao da Independencia,december 1st,20691201,2069,12,1,6,Sunday
Imaculada Conceicao,december 8th,20691208,2069,12,8,6,Sunday
Natal,december 25th,20691225,2069,12,25,2,Wednesday
Ano Novo,january 1st,20700101,2070,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20700211,2070,2,11,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20700328,2070,3,28,4,Friday
Pascoa,easter sunday,20700330,2070,3,30,6,Sunday
25 de Abril,april 25th,20700425,2070,4,25,4,Friday
Dia do Trabalhador,may 1th,20700501,2070,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20700529,2070,5,29,3,Thursday
Dia de Portugal,june 10th,20700610,2070,6,10,1,Tuesday
Assuncao Maria,august 15th,20700815,2070,8,15,4,Friday
Implatacao da Republica,october 5th,20701005,2070,10,5,6,Sunday
Todos os Santos,november 1st,20701101,2070,11,1,5,Saturday
Restauracao da Independencia,december 1st,20701201,2070,12,1,0,Monday
Imaculada Conceicao,december 8th,20701208,2070,12,8,0,Monday
Natal,december 25th,20701225,2070,12,25,3,Thursday
Ano Novo,january 1st,20710101,2071,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20710303,2071,3,3,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20710417,2071,4,17,4,Friday
Pascoa,easter sunday,20710419,2071,4,19,6,Sunday
25 de Abril,april 25th,20710425,2071,4,25,5,Saturday
Dia do Trabalhador,may 1th,20710501,2071,5,1,4,Friday
Dia de Portugal,june 10th,20710610,2071,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20710618,2071,6,18,3,Thursday
Assuncao Maria,august 15th,20710815,2071,8,15,5,Saturday
Implatacao da Republica,october 5th,20711005,2071,10,5,0,Monday
Todos os Santos,november 1st,20711101,2071,11,1,6,Sunday
Restauracao da Independencia,december 1st,20711201,2071,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20711208,2071,12,8,1,Tuesday
Natal,december 25th,20711225,2071,12,25,4,Friday
Ano Novo,january 1st,20720101,2072,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20720223,2072,2,23,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20720408,2072,4,8,4,Friday
Pascoa,easter sunday,20720410,2072,4,10,6,Sunday
25 de Abril,april 25th,20720425,2072,4,25,0,Monday
Dia do Trabalhador,may 1th,20720501,2072,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20720609,2072,6,9,3,Thursday
Dia de Portugal,june 10th,20720610,2072,6,10,4,Friday
Assuncao Maria,august 15th,20720815,2072,8,15,0,Monday
Implatacao da Republica,october 5th,20721005,2072,10,5,2,Wednesday
Todos os Santos,november 1st,20721101,2072,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20721201,2072,12,1,3,Thursday
Imaculada Conceicao,december 8th,20721208,2072,12,8,3,Thursday
Natal,december 25th,20721225,2072,12,25,6,Sunday
Ano Novo,january 1st,20730101,2073,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20730207,2073,2,7,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20730324,2073,3,24,4,Friday
Pascoa,easter sunday,20730326,2073,3,26,6,Sunday
25 de Abril,april 25th,20730425,2073,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20730501,2073,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20730525,2073,5,25,3,Thursday
Dia de Portugal,june 10th,20730610,2073,6,10,5,Saturday
Assuncao Maria,august 15th,20730815,2073,8,15,1,Tuesday
Implatacao da Republica,october 5th,20731005,2073,10,5,3,Thursday
Todos os Santos,november 1st,20731101,2073,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20731201,2073,12,1,4,Friday
Imaculada Conceicao,december 8th,20731208,2073,12,8,4,Friday
Natal,december 25th,20731225,2073,12,25,0,Monday
Ano Novo,january 1st,20740101,2074,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20740227,2074,2,27,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20740413,2074,4,13,4,Friday
Pascoa,easter sunday,20740415,2074,4,15,6,Sunday
25 de Abril,april 25th,20740425,2074,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20740501,2074,5,1,1,Tuesday
Dia de Portugal,june 10th,20740610,2074,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20740614,2074,6,14,3,Thursday
Assuncao Maria,august 15th,20740815,2074,8,15,2,Wednesday
Implatacao da Republica,october 5th,20741005,2074,10,5,4,Friday
Todos os Santos,november 1st,20741101,2074,11,1,3,Thursday
Restauracao da Independencia,december 1st,20741201,2074,12,1,5,Saturday
Imaculada Conceicao,december 8th,20741208,2074,12,8,5,Saturday
Natal,december 25th,20741225,2074,12,25,1,Tuesday
Ano Novo,january 1st,20750101,2075,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20750219,2075,2,19,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20750405,2075,4,5,4,Friday
Pascoa,easter sunday,20750407,2075,4,7,6,Sunday
25 de Abril,april 25th,20750425,2075,4,25,3,Thursday
Dia do Trabalhador,may 1th,20750501,2075,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20750606,2075,6,6,3,Thursday
Dia de Portugal,june 10th,20750610,2075,6,10,0,Monday
Assuncao Maria,august 15th,20750815,2075,8,15,3,Thursday
Implatacao da Republica,october 5th,20751005,2075,10,5,5,Saturday
Todos os Santos,november 1st,20751101,2075,11,1,4,Friday
Restauracao da Independencia,december 1st,20751201,2075,12,1,6,Sunday
Imaculada Conceicao,december 8th,20751208,2075,12,8,6,Sunday
Natal,december 25th,20751225,2075,12,25,2,Wednesday
Ano Novo,january 1st,20760101,2076,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20760303,2076,3,3,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20760417,2076,4,17,4,Friday
Pascoa,easter sunday,20760419,2076,4,19,6,Sunday
25 de Abril,april 25th,20760425,2076,4,25,5,Saturday
Dia do Trabalhador,may 1th,20760501,2076,5,1,4,Friday
Dia de Portugal,june 10th,20760610,2076,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20760618,2076,6,18,3,Thursday
Assuncao Maria,august 15th,20760815,2076,8,15,5,Saturday
Implatacao da Republica,october 5th,20761005,2076,10,5,0,Monday
Todos os Santos,november 1st,20761101,2076,11,1,6,Sunday
Restauracao da Independencia,december 1st,20761201,2076,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20761208,2076,12,8,1,Tuesday
Natal,december 25th,20761225,2076,12,25,4,Friday
Ano Novo,january 1st,20770101,2077,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20770223,2077,2,23,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20770409,2077,4,9,4,Friday
Pascoa,easter sunday,20770411,2077,4,11,6,Sunday
25 de Abril,april 25th,20770425,2077,4,25,6,Sunday
Dia do Trabalhador,may 1th,20770501,2077,5,1,5,Saturday
Dia de Portugal,june 10th,20770610,2077,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20770610,2077,6,10,3,Thursday
Assuncao Maria,august 15th,20770815,2077,8,15,6,Sunday
Implatacao da Republica,october 5th,20771005,2077,10,5,1,Tuesday
Todos os Santos,november 1st,20771101,2077,11,1,0,Monday
Restauracao da Independencia,december 1st,20771201,2077,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20771208,2077,12,8,2,Wednesday
Natal,december 25th,20771225,2077,12,25,5,Saturday
Ano Novo,january 1st,20780101,2078,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20780215,2078,2,15,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20780401,2078,4,1,4,Friday
Pascoa,easter sunday,20780403,2078,4,3,6,Sunday
25 de Abril,april 25th,20780425,2078,4,25,0,Monday
Dia do Trabalhador,may 1th,20780501,2078,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20780602,2078,6,2,3,Thursday
Dia de Portugal,june 10th,20780610,2078,6,10,4,Friday
Assuncao Maria,august 15th,20780815,2078,8,15,0,Monday
Implatacao da Republica,october 5th,20781005,2078,10,5,2,Wednesday
Todos os Santos,november 1st,20781101,2078,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20781201,2078,12,1,3,Thursday
Imaculada Conceicao,december 8th,20781208,2078,12,8,3,Thursday
Natal,december 25th,20781225,2078,12,25,6,Sunday
